Data Year,Utility Number,Utility Name,State,Total Revenue,Total Sales,Total Customers,Green Pricing,Net Metering,Demand Side Management,Time Based Programs
2012,34,City of Abbeville - (SC),SC,"6,989","58,305","3,506",N,N,N,N
2012,87,City of Ada,MN,"1,288","19,433","1,034",N,N,N,N
2012,149,City of Afton- (IA),IA,732,"6,252",512,N,N,Y,N
2012,157,Town of Advance,IN,474.8,"4,522",276,N,N,N,N
2012,174,Aitkin Public Utilities Comm,MN,"3,411","37,538","2,008",Y,N,N,N
2012,182,City of Akron - (IA),IA,"1,282","14,299",837,N,N,Y,N
2012,183,Village of Akron - (NY),NY,"2,615","55,383","1,577",N,N,N,N
2012,191,Alamo Power District No 3,NV,"1,231.4","13,988",743,N,N,N,N
2012,192,Akiachak Native Community Electric,AK,"1,100","1,786",225,N,N,N,N
2012,198,City of Alton,IA,828,"10,686",571,N,N,Y,N
2012,202,Town of Black Creek - (NC),NC,"1,438","11,115",742,N,N,N,N
2012,228,City of Albany - (MO),MO,"2,220","16,353",979,N,Y,N,N
2012,229,City of Albany - (IL),IL,556,"5,134",460,N,N,N,N
2012,244,City of Albion,ID,232,"2,749",202,N,N,N,N
2012,266,City of Alpha - (MN),MN,127,"1,260",76,N,N,N,N
2012,282,Village of Arcadia - (OH),OH,516,"5,025",300,N,Y,N,N
2012,287,"Alder Mutual Light Co, Inc",WA,272,"4,621",278,N,N,N,N
2012,366,City of Allendale- (IL),IL,370,"3,054",252,N,N,N,N
2012,385,City of Alma - (KS),KS,"1,441","13,459",491,N,N,N,N
2012,405,City of Alta,IA,"1,428.5","16,482",980,N,N,N,N
2012,406,City of Altamont - (IL),IL,"2,250","21,711","1,544",N,N,N,N
2012,408,City of Altamont - (KS),KS,853,"8,436",546,N,N,N,N
2012,432,City of Alta Vista- (IA),IA,190,"1,917",232,N,N,N,N
2012,482,City of Alvarado,MN,421,"3,721",189,N,N,N,N
2012,588,Anadarko Public Works Authority,OK,"6,075","47,908","2,676",N,N,N,N
2012,661,Village of Andover,NY,398.6,"6,946",574,N,N,N,N
2012,669,Village of Angelica,NY,628.8,"9,100",702,N,N,N,N
2012,682,City of Anita - (IA),IA,793,"8,584",711,N,N,N,N
2012,695,City of Ansley - (NE),NE,427,"5,336",339,N,N,N,N
2012,700,City of Anthon - (IA),IA,533.5,"6,306",365,N,N,N,N
2012,701,City of Anthony - (KS),KS,"3,631","30,046","2,018",N,N,N,N
2012,723,City of Aplington,IA,667,"6,895",535,N,N,N,N
2012,737,Aguila Irrigation District,AZ,"2,246","40,612",55,N,N,Y,N
2012,752,City of Arapahoe - (NE),NE,"1,427","10,323",696,N,N,N,N
2012,764,City of Arcadia - (KS),KS,193.2,"1,542",177,N,N,N,N
2012,765,City of Arcadia - (WI),WI,"6,334.7","86,086","1,493",N,N,N,N
2012,768,City of Arcanum - (OH),OH,"2,147","23,126","1,600",N,N,Y,N
2012,789,Town of Argos,IN,"2,844","28,556",866,N,N,N,N
2012,792,City of Argyle - (WI),WI,660,"6,653",501,N,N,N,N
2012,831,City of Arlington - (SD),SD,"1,778","18,142",567,N,N,N,N
2012,832,City of Arma,KS,"1,428.9","10,497",860,N,N,N,N
2012,871,Village of Arnold,NE,794,"7,774",511,N,N,Y,N
2012,878,Atmautluak Tribal Utilities,AK,378,644,79,N,N,N,N
2012,902,Town of Ashburnham,MA,"4,447","34,990","2,979",N,Y,N,N
2012,906,Town of Ashland,NH,"2,998","20,736","1,591",N,N,N,N
2012,911,City of Ashland - (KS),KS,"1,358","9,906",509,N,N,N,N
2012,925,"Ashley Chicot Elec Coop, Inc","AR,LA","9,061","82,180","5,103",N,N,Y,N
2012,989,City of Attica,KS,679,"6,614",539,N,N,N,N
2012,995,City of Auburn - (IA),IA,222,"1,915",186,N,N,N,N
2012,1000,City of Augusta - (AR),AR,"1,468","15,336","1,017",N,N,N,N
2012,1002,City of Aurelia - (IA),IA,819,"8,000",520,N,N,N,N
2012,1004,City of Aurora - (SD),SD,459,"4,076",328,N,N,N,N
2012,1028,Town of Avilla,IN,"2,750.5","33,848","1,090",N,N,N,N
2012,1033,City of Axtell - (KS),KS,334,"3,117",230,N,N,N,N
2012,1046,City of Aztec - (NM),NM,"6,069","45,638","3,161",N,N,N,N
2012,1080,City of Badger,SD,145,"1,312",94,N,N,Y,N
2012,1119,Town of Bainbridge,IN,572.5,"5,353",389,N,N,N,N
2012,1170,Bamberg Board of Public Works,SC,"4,924","47,977","1,925",N,N,N,N
2012,1172,Bancroft Municipal Utilities,IA,"1,237","12,370",626,N,N,N,N
2012,1205,City of Bardwell - (KY),KY,671,"7,843",520,N,N,N,N
2012,1208,Town of Bargersville,IN,"5,768","57,266","3,500",N,N,N,N
2012,1232,City of Barnesville - (GA),GA,"7,104","73,507","2,780",N,N,N,N
2012,1278,City of Barron,WI,"6,867.5","82,567","1,877",N,N,N,Y
2012,1287,City of Bartlett - (TX),TX,"1,276.1","9,285",656,N,N,N,N
2012,1299,"Barton Village, Inc",VT,"2,466","14,169","1,899",N,Y,N,N
2012,1324,City of Bastrop - (TX),TX,"6,436","67,867","2,625",N,N,N,N
2012,1326,Village of Bartley - (NE),NE,314.7,"3,807",199,N,N,N,N
2012,1343,Bath Electric Gas & Water,NY,"4,025","79,901","4,696",N,N,N,N
2012,1346,City of Battle Creek- (NE),NE,"1,061.1","10,292",572,N,N,N,N
2012,1353,City of Baudette - (MN),MN,"2,210","21,049",754,N,N,N,N
2012,1374,City of Bayard,NE,"1,012","8,464",622,N,N,N,N
2012,1386,Village of Beach City- (OH),OH,"1,081","9,838",841,N,N,N,N
2012,1387,City of Benham,KY,529.9,"6,216",293,N,N,N,N
2012,1434,Beaver City Corporation,UT,"2,298.6","29,637","1,892",N,N,N,N
2012,1435,City of Beaver City - (NE),NE,587,"6,765",403,N,N,N,N
2012,1494,Town of Belhaven - (NC),NC,"2,754","18,820","1,121",N,N,N,N
2012,1512,City of Belleville - (KS),KS,"2,345","21,398","1,369",N,N,N,N
2012,1515,City of Bellevue - (IA),IA,"2,230","20,094","1,555",N,Y,N,N
2012,1519,City of Bellville - (TX),TX,"6,526","60,808","2,717",N,N,N,N
2012,1522,Village of Belmont - (WI),WI,"1,659","21,741",821,N,N,N,N
2012,1554,City of Benkelman - (NE),NE,"1,228.5","10,569",729,N,N,N,N
2012,1571,Town of Benson - (NC),NC,"4,364","32,161","1,766",N,N,Y,N
2012,1585,Village of Benton - (WI),WI,447,"5,138",532,N,N,N,N
2012,1604,Village of Bergen - (NY),NY,"2,502","29,709",658,N,N,N,N
2012,1615,Town of Berlin - (MD),MD,"5,703.9","40,152","2,417",N,Y,N,N
2012,1618,Borough of Berlin - (PA),PA,"1,952","20,064","1,147",N,N,N,N
2012,1647,City of Bethany,MO,"4,429","34,050","1,901",N,N,N,N
2012,1648,Village of Bethany - (IL),IL,927,"8,745",697,N,N,N,N
2012,1650,Village of Bethel,OH,"2,466.3","24,962","1,590",N,N,N,N
2012,1671,Big Flat Electric Coop Inc,MT,"3,211.8","27,049","1,894",N,N,Y,N
2012,1677,Village of Bloomdale - (OH),OH,527,"4,612",316,N,N,N,N
2012,1698,City of Big Stone City,SD,924,"12,344",384,N,N,N,N
2012,1702,City of Biggs - (CA),CA,"2,036.7","16,378",680,N,N,N,N
2012,1726,City of Blue Mound - (KS),KS,181,"1,665",152,N,N,N,N
2012,1747,Birch Creek Village Elec Util,AK,68.5,109,22,N,N,N,N
2012,1753,City of Biwabik,MN,513.7,"6,418",616,N,N,N,N
2012,1765,Village of Black Earth - (WI),WI,"1,643","17,379","1,256",N,N,N,N
2012,1779,Town of Basin,WY,"1,322","10,961",970,N,N,N,N
2012,1795,Town of Blackstone,VA,"3,406","35,349","1,967",N,N,N,N
2012,1800,City of Blackwell,OK,"6,951","61,708","3,590",N,N,N,N
2012,1823,Borough of Blakely - (PA),PA,"5,976","35,071","3,865",N,N,N,N
2012,1824,City of Bigelow,"IA,MN",138.3,"1,741",147,N,N,N,N
2012,1826,City of Blakely,GA,"7,541","74,386","2,470",N,N,N,N
2012,1832,Village of Blanchester - (OH),OH,"6,688","69,042","2,248",N,N,N,N
2012,1839,City of Blanding - (UT),UT,"2,579.6","25,452","1,640",N,Y,N,N
2012,1866,Bloomer Electric & Water Co,WI,"4,713","49,410","2,013",N,N,N,N
2012,1871,City of Blooming Prairie - (MN),MN,"2,390","25,725","1,035",N,N,N,N
2012,1876,City of Blountstown - (FL),FL,"5,021","37,319","1,334",N,N,N,N
2012,1955,City of Bridgeport Utilities - (NE),NE,"1,399","16,144",878,N,N,N,N
2012,1956,City of Bonners Ferry,ID,"4,287","66,046","2,593",N,N,N,N
2012,1968,Boone Valley Electric Coop,IA,398,"4,715",110,N,N,N,N
2012,1970,Village of Boonville - (NY),NY,"3,592","76,434","3,352",N,N,Y,N
2012,1987,Town of Bostic - (NC),NC,370,"3,286",201,N,N,Y,N
2012,2050,City of Bowie - (TX),TX,"7,887","66,504","3,343",N,N,N,N
2012,2064,Town of Boyce,LA,561.8,"5,495",399,N,N,N,N
2012,2086,Town of Boylston - (MA),MA,"3,486","29,836","2,125",N,Y,N,N
2012,2120,Village of Brainard - (NE),NE,439.7,"4,843",197,N,N,N,N
2012,2128,Village of Bradner - (OH),OH,641,"5,571",518,N,N,N,N
2012,2135,City of Brady,TX,"8,073","64,847","3,040",N,N,N,N
2012,2183,City of Breda - (IA),IA,365.8,"4,253",289,N,N,Y,N
2012,2188,City of Breese - (IL),IL,"4,112","49,636","2,262",N,N,N,N
2012,2205,Village of Brewster - (OH),OH,"4,302","48,106",958,N,N,N,N
2012,2210,City of Bridgeport - (TX),TX,"7,733.5","55,095","2,265",N,N,N,N
2012,2236,Town of Brinson,GA,170.1,"1,441",119,N,N,N,N
2012,2268,Town of Braman - (OK),OK,209,"1,952",164,N,N,N,N
2012,2270,City of Bronson,KS,213.3,"1,574",149,N,N,N,N
2012,2272,Village of Brocton - (NY),NY,681,"14,103",877,N,N,N,N
2012,2287,City of Brooklyn - (IA),IA,"1,302.6","12,140",797,N,N,Y,N
2012,2289,Town of Brooklyn,IN,704.3,"6,756",534,N,N,N,N
2012,2304,Town of Brookston - (IN),IN,"1,075.4","11,478",704,N,N,N,N
2012,2404,City of Brownfield - (TX),TX,"8,150","70,316","4,100",N,N,N,N
2012,2412,City of Brownton - (MN),MN,438,"4,587",387,Y,N,N,N
2012,2423,City of Brundidge - (AL),AL,"5,995.6","53,555","1,320",N,N,N,N
2012,2448,City of Bryant - (SD),SD,461.8,"3,982",252,N,N,N,N
2012,2469,Buckeye Water C&D District,AZ,581,"6,786",102,N,N,Y,N
2012,2491,City of Buhl - (MN),MN,593,"7,425",583,N,N,N,N
2012,2534,City of Burke,SD,607.9,"7,483",436,N,N,N,N
2012,2547,City of Burlingame - (KS),KS,890,"8,117",640,N,N,N,N
2012,2550,City of Burlington - (CO),CO,"3,246","30,580","2,118",N,N,N,N
2012,2553,City of Burlington - (OK),OK,205.3,"2,894",78,N,N,N,N
2012,2559,City of Burnet - (TX),TX,"9,346","81,967","2,902",N,N,N,N
2012,2600,City of Burt,IA,357,"3,590",284,N,N,Y,N
2012,2609,City of Burwell - (NE),NE,"1,105","12,944",707,N,N,N,N
2012,2633,City of Bushnell - (FL),FL,"3,182","22,224","1,030",N,N,N,N
2012,2634,City of Bushnell - (IL),IL,"2,855","33,944","1,876",N,N,N,N
2012,2647,City of Butler - (MO),MO,"5,479","45,762","2,449",N,N,N,N
2012,2726,City of Cabool - (MO),MO,"2,408","33,597","1,062",N,N,N,N
2012,2759,Village of Cadott,WI,"1,274","12,789",818,N,N,N,N
2012,2776,Cairo Public Utility Company,IL,"6,583.1","70,215","1,432",N,N,N,N
2012,2800,City of Caldwell,TX,"5,340.3","54,238","2,015",N,N,N,N
2012,2809,City of Callender,IA,257.1,"1,900",198,N,N,N,N
2012,2810,City of Caledonia - (MN),MN,"2,507","25,843","1,632",N,N,N,N
2012,2821,City of Caliente - (NV),NV,"1,082","10,820",729,N,N,N,N
2012,2851,City of California - (MO),MO,"3,731","37,311","2,331",N,N,N,N
2012,2859,Village of Callaway,NE,701,"7,582",385,N,N,N,N
2012,2931,Village of Campbell - (NE),NE,270,"2,488",237,N,N,N,N
2012,2964,Cannelton Utilities,IN,"1,371","15,036",922,N,N,N,N
2012,3008,Village of Carey - (OH),OH,"5,832","73,893","1,875",N,N,N,N
2012,3029,City of Carlisle- (IA),IA,"2,024","19,654","1,546",N,N,N,N
2012,3037,City of Carlyle - (IL),IL,"3,748","36,934","1,803",N,N,N,Y
2012,3040,City of Carmi - (IL),IL,"6,225.9","54,083","3,279",N,N,N,N
2012,3082,Carrollton Board of Public Wks,MO,"4,633","44,460","2,136",N,N,N,N
2012,3111,Cass Electric Coop,IA,137.7,"1,314",91,N,N,N,N
2012,3136,City of Cascade Locks,OR,"1,489","17,739",808,N,N,N,N
2012,3137,Cascade Municipal Utilities,IA,"1,817","18,550","1,098",N,N,Y,N
2012,3138,"Cavalier Rural Elec Coop, Inc",ND,"4,236","31,738","1,477",N,N,N,N
2012,3153,City of Casey - (IL),IL,"3,373","30,323","1,727",N,N,N,N
2012,3156,Village of Cashton,WI,"1,357.2","14,620",613,N,N,N,N
2012,3164,Village of Castile,NY,445,"8,866",613,N,N,N,N
2012,3168,City of Castroville - (TX),TX,"3,095.7","29,890","1,436",N,N,N,N
2012,3170,Borough of Catawissa,PA,"1,360","9,917",952,N,N,N,N
2012,3186,City of Cavalier - (ND),ND,"1,366","17,000",899,N,N,Y,N
2012,3191,City of Cawker City,KS,515.3,"5,197",475,N,N,N,N
2012,3227,City of Center - (CO),CO,"1,344","17,974",825,N,N,N,N
2012,3230,Town of Centerville,IN,"2,016","21,977","1,377",N,N,N,N
2012,3294,City of Centralia - (KS),KS,448,"3,675",315,N,N,N,N
2012,3296,City of Centralia - (MO),MO,"3,023.2","32,387","2,116",N,N,N,N
2012,3298,Village of Centuria,WI,613,"5,698",441,N,N,N,N
2012,3323,Town of Chalmers - (IN),IN,437,"4,292",346,N,N,N,N
2012,3356,City of Ceylon,MN,209,"2,552",237,N,N,N,N
2012,3366,City of Chapman - (KS),KS,"1,311.9","11,223",663,N,N,N,N
2012,3373,City of Chappell,NE,612,"8,012",739,N,N,N,N
2012,3384,City of Charlevoix,MI,"6,404","60,591","4,408",N,N,N,N
2012,3405,Village of Chatham - (IL),IL,"8,124","75,449","5,073",N,N,N,N
2012,3406,City of Chattahoochee - (FL),FL,"3,837","36,042","1,053",N,N,N,N
2012,3415,Village of Chelsea - (MI),MI,"8,456","105,707","2,835",N,N,N,N
2012,3421,City of Chignik - (AK),AK,456.2,887,103,N,N,N,N
2012,3422,City of Chefornak,AK,715,"1,847",158,N,N,N,N
2012,3437,City of Cherryville - (NC),NC,"5,386","44,854","2,425",N,N,Y,N
2012,3445,Village of Chester - (NE),NE,303,"2,388",201,N,N,N,N
2012,3447,Town of Chester,MA,811.6,"4,072",693,N,N,N,N
2012,3454,City of Chetopa - (KS),KS,"1,359","15,000",750,N,N,N,N
2012,3459,City of Chewelah,WA,"1,917","22,800","1,290",N,N,N,N
2012,3465,Chitina Electric Inc,AK,276,486,83,N,N,N,N
2012,3525,Village of Churchville - (NY),NY,"1,578","21,915",991,N,N,N,N
2012,3535,City of Cimarron,KS,"1,564","14,001","1,108",N,N,N,N
2012,3633,City of McLaughlin - (SD),SD,596,"6,145",380,N,N,N,N
2012,3726,Clay Electric Coop Inc,IL,"6,706","49,182","3,227",N,N,N,N
2012,3735,City of Colman - (SD),SD,859,"8,913",354,N,N,Y,N
2012,3813,Village of Clinton - (MI),MI,"2,936","22,851","1,485",N,N,N,N
2012,3815,Town of Coatesville - (IN),IN,511,"4,399",312,N,N,N,N
2012,3900,City of Coggon,IA,494,"3,368",400,N,N,N,N
2012,3923,City of Coleman - (TX),TX,"5,713.1","40,932","2,556",N,N,Y,N
2012,3957,City of Collins - (MS),MS,"4,627","44,415","1,249",N,N,N,N
2012,3986,City of Collinsville - (OK),OK,"4,304","47,332","2,992",N,N,N,N
2012,3990,Colorado River Indian Irr Proj,"CA,AZ","6,360","87,100","4,347",N,N,N,N
2012,4061,City of Columbiana - (OH),OH,"8,292","83,342","3,584",N,N,N,N
2012,4078,City of Comanche - (OK),OK,"1,595.5","14,954",867,N,N,N,N
2012,4091,City of Commerce - (GA),GA,"5,275","54,051","2,776",N,N,N,N
2012,4304,City of Corwith - (IA),IA,404,"2,815",195,N,N,N,N
2012,4305,City of Coon Rapids,IA,"1,614.6","15,769",800,N,N,Y,N
2012,4319,Copan Public Works Authority,OK,520,"5,410",408,N,N,N,N
2012,4341,Corbin City Utilities Comm,KY,"5,799","71,573","4,064",N,N,N,N
2012,4344,City of Cordell - (OK),OK,"1,636","31,236","1,593",N,N,N,N
2012,4365,Town of Cornelius- (NC),NC,"4,639.5","49,267","2,953",N,N,Y,N
2012,4369,City of Cornell,WI,"1,183","12,427",877,N,N,N,N
2012,4375,City of Corning - (IA),IA,"1,929","19,817","1,067",N,N,N,N
2012,4414,City of Coulee Dam,WA,930,"16,634",597,N,Y,N,N
2012,4429,City of Covington - (IN),IN,"2,386","25,777","1,585",N,N,N,N
2012,4483,City of Crane - (MO),MO,"1,052","11,662",720,N,N,N,N
2012,4486,Town of Crane - (IN),IN,105,963,99,N,N,N,N
2012,4562,City of Croswell - (MI),MI,"3,189","37,905","1,306",N,N,N,N
2012,4608,City of Cuba,MO,"4,952","56,112","1,923",N,N,N,N
2012,4627,City of Cumberland - (WI),WI,"4,003","37,289","1,380",N,N,N,N
2012,4661,City of Curtis - (NE),NE,"1,274.9","13,626",701,N,N,N,N
2012,4685,Village of Cygnet - (OH),OH,352,"3,185",269,N,N,N,N
2012,4725,City of Custar,OH,209,"2,241",118,N,N,N,N
2012,4739,Town of Dallas - (NC),NC,"6,274","63,856","3,359",N,N,N,N
2012,4791,City of Danville - (IA),IA,625,"5,470",434,N,N,N,N
2012,4792,Village of Daggett - (MI),MI,124.6,"1,357",126,N,N,N,N
2012,4799,Darlington Light & Power Co,IN,"1,890","20,348",699,N,N,N,N
2012,4914,Village of Davenport,NE,339,"2,983",204,N,N,N,N
2012,4919,City of Dayton - (IA),IA,651,"5,359",467,N,N,N,N
2012,4934,Village of De Witt,NE,338,"4,996",303,N,N,N,N
2012,4959,Aniak Light & Power Co Inc,AK,"1,655","2,234",218,N,N,N,N
2012,4961,Village of Decatur - (NE),NE,509.3,"4,551",344,N,N,N,N
2012,4981,City of Deaver- (WY),WY,50,746,84,N,N,N,N
2012,5021,Delaware County Elec Coop Inc,NY,"6,911","56,304","5,283",N,Y,Y,N
2012,5036,City of Delta - (CO),CO,"5,403","54,146","2,872",N,Y,N,N
2012,5071,Town of Dunreith,IN,162,"1,436",156,N,N,N,N
2012,5076,City of Denver,IA,"1,181","12,110",863,N,N,Y,N
2012,5096,Village of Deshler,OH,"1,601","14,975","1,013",N,N,N,N
2012,5097,City of Deshler - (NE),NE,833,"7,558",470,N,N,N,N
2012,5154,City of Dighton,KS,"1,434","9,299",774,N,N,N,N
2012,5155,City of Dike,IA,637,"6,237",496,N,N,N,N
2012,5236,City of Doerun,GA,824,"6,295",448,N,N,N,N
2012,5334,"Doniphan Elec Coop Assn, Inc",KS,"2,524","21,623","1,652",N,N,N,N
2012,5343,City of Dowagiac,MI,"6,961.4","65,556","3,052",N,N,N,N
2012,5350,Village of Dorchester - (NE),NE,640,"5,281",386,N,N,N,N
2012,5354,City of Drain - (OR),OR,"1,301.7","15,758",677,Y,N,N,N
2012,5372,Town of Drexel,NC,"1,969.1","17,610","1,214",N,N,Y,N
2012,5392,Dublin Municipal Electric Util,IN,492,"4,264",497,N,N,N,N
2012,5397,City of Dunnell,MN,95,944,119,N,N,N,N
2012,5402,City of Due West,SC,"1,255","12,313",357,N,N,N,N
2012,5438,"Duncan Valley Elec Coop, Inc","AZ,NM","3,329.5","27,340","2,311",Y,Y,N,Y
2012,5442,Borough of Duncannon - (PA),PA,"1,183","10,996",925,N,N,N,N
2012,5479,City of Durant - (MS),MS,"2,173","22,460","1,243",N,N,N,N
2012,5518,City of Dysart,IA,"1,211","8,565",710,N,N,N,N
2012,5529,City of Durant - (IA),IA,"1,745","14,854",950,N,N,Y,N
2012,5531,Enerstar Power Corp,IL,"11,562","81,979","5,324",N,N,N,N
2012,5563,City of Earlville,IA,478,"4,934",446,N,N,N,N
2012,5583,City of Easton,MO,147,"1,653",107,N,N,N,N
2012,5584,East End Mutual Elec Co Ltd,ID,"1,449","23,000",727,N,N,N,N
2012,5586,Borough of East Conemaugh,PA,699.3,"5,689",726,N,N,N,N
2012,5630,City of Eaton Rapids - (MI),MI,"8,441","97,288","2,755",N,N,N,N
2012,5631,Town of Eatonville - (WA),WA,"1,852","27,745","1,170",N,N,N,N
2012,5650,City of Edgar- (NE),NE,532,"6,203",326,N,N,N,N
2012,5653,Village of Edgerton - (OH),OH,"2,457","26,022","1,125",N,N,N,N
2012,5655,Edinburg Municipal Utilities,IN,"7,178","79,922","2,735",N,N,N,N
2012,5686,City of El Dorado Springs - (MO),MO,"4,424.9","46,854","1,932",N,N,N,N
2012,5692,City of Eitzen,MN,217,"2,147",153,N,N,N,N
2012,5721,City of Elfin Cove,AK,174,246,79,N,N,N,N
2012,5728,City of Elba - (AL),AL,"4,621","46,720","3,285",N,N,N,N
2012,5732,City of Elbow Lake - (MN),MN,"1,533","15,060",855,N,N,Y,N
2012,5741,City of Eldorado - (OK),OK,319.1,"2,667",264,N,N,N,N
2012,5744,City of Electra,TX,"2,952","23,155","1,415",N,N,N,N
2012,5752,Village of Eldorado - (OH),OH,344,"3,852",277,N,N,N,N
2012,5762,Village of Elk Creek - (NE),NE,92.4,"1,035",61,N,N,N,N
2012,5771,City of Elk Point,SD,"1,529.4","18,088",944,N,N,N,N
2012,5794,Town of Elkton,VA,"1,708","17,760","1,072",N,N,N,N
2012,5795,City of Elsmore,KS,45,374,52,N,N,N,N
2012,5796,City of Ellaville,GA,"2,855","24,782",861,N,N,N,N
2012,5802,City of Ellinwood,KS,"1,965","14,747","1,232",N,N,N,N
2012,5827,City of Ellsworth - (IA),IA,537,"5,271",279,N,N,Y,N
2012,5828,Borough of Ellwood City - (PA),PA,"5,866","52,963","4,131",N,N,N,N
